experiment,scheduler,runs,admission_rate_mean,admission_rate_ci95,rejection_rate_mean,rejection_rate_ci95,completion_rate_mean,completion_rate_ci95,offered_deadline_tasks_mean,offered_deadline_tasks_ci95,deadline_successes_mean,deadline_successes_ci95,deadline_goodput_mean,deadline_goodput_ci95,accepted_deadline_tasks_mean,accepted_deadline_tasks_ci95,accepted_deadline_misses_mean,accepted_deadline_misses_ci95,accepted_miss_rate_mean,accepted_miss_rate_ci95,deadline_miss_ratio_mean,deadline_miss_ratio_ci95,mean_response_ms_mean,mean_response_ms_ci95,p95_response_ms_mean,p95_response_ms_ci95,throughput_tasks_s_mean,throughput_tasks_s_ci95,goodput_deadline_tasks_s_mean,goodput_deadline_tasks_s_ci95,cpu_utilization_mean,cpu_utilization_ci95,jain_class_service_fairness_mean,jain_class_service_fairness_ci95,scheduler_cpu_time_ms_mean,scheduler_cpu_time_ms_ci95,scheduler_cpu_fraction_mean,scheduler_cpu_fraction_ci95,metadata_cache_hits_mean,metadata_cache_hits_ci95,metadata_registry_reads_mean,metadata_registry_reads_ci95,metadata_misses_mean,metadata_misses_ci95,local_dispatches_mean,local_dispatches_ci95,dispatch_attempts_mean,dispatch_attempts_ci95,tasks_dequeued_mean,tasks_dequeued_ci95,notify_cycles_mean,notify_cycles_ci95,average_tasks_per_notify_cycle_mean,average_tasks_per_notify_cycle_ci95,average_decision_wall_us_mean,average_decision_wall_us_ci95,decision_wall_ns_per_dispatch_mean,decision_wall_ns_per_dispatch_ci95,max_decision_wall_us_mean,max_decision_wall_us_ci95,average_cycle_wall_us_mean,average_cycle_wall_us_ci95,max_cycle_wall_us_mean,max_cycle_wall_us_ci95,core_user_dispatches_mean,core_user_dispatches_ci95,core_kernel_dispatches_mean,core_kernel_dispatches_ci95,core_cancelled_dispatches_mean,core_cancelled_dispatches_ci95,core_bounced_dispatches_mean,core_bounced_dispatches_ci95,core_failed_dispatches_mean,core_failed_dispatches_ci95,core_congestion_events_mean,core_congestion_events_ci95,p50_response_ms_mean,p50_response_ms_ci95,workload_psi_some_avg10_final_mean,workload_psi_some_avg10_final_ci95,workload_psi_some_total_us_mean,workload_psi_some_total_us_ci95,workload_psi_some_stall_fraction_mean,workload_psi_some_stall_fraction_ci95,critical_offered_tasks_mean,critical_offered_tasks_ci95,critical_completed_tasks_mean,critical_completed_tasks_ci95,critical_rejected_tasks_mean,critical_rejected_tasks_ci95,critical_completion_rate_mean,critical_completion_rate_ci95,critical_rejection_rate_mean,critical_rejection_rate_ci95,critical_offered_deadline_tasks_mean,critical_offered_deadline_tasks_ci95,critical_deadline_successes_mean,critical_deadline_successes_ci95,critical_deadline_goodput_mean,critical_deadline_goodput_ci95,critical_accepted_deadline_tasks_mean,critical_accepted_deadline_tasks_ci95,critical_accepted_deadline_misses_mean,critical_accepted_deadline_misses_ci95,critical_accepted_miss_rate_mean,critical_accepted_miss_rate_ci95,critical_p50_response_ms_mean,critical_p50_response_ms_ci95,critical_p95_response_ms_mean,critical_p95_response_ms_ci95,interactive_offered_tasks_mean,interactive_offered_tasks_ci95,interactive_completed_tasks_mean,interactive_completed_tasks_ci95,interactive_rejected_tasks_mean,interactive_rejected_tasks_ci95,interactive_completion_rate_mean,interactive_completion_rate_ci95,interactive_rejection_rate_mean,interactive_rejection_rate_ci95,interactive_offered_deadline_tasks_mean,interactive_offered_deadline_tasks_ci95,interactive_deadline_successes_mean,interactive_deadline_successes_ci95,interactive_deadline_goodput_mean,interactive_deadline_goodput_ci95,interactive_accepted_deadline_tasks_mean,interactive_accepted_deadline_tasks_ci95,interactive_accepted_deadline_misses_mean,interactive_accepted_deadline_misses_ci95,interactive_accepted_miss_rate_mean,interactive_accepted_miss_rate_ci95,interactive_p50_response_ms_mean,interactive_p50_response_ms_ci95,interactive_p95_response_ms_mean,interactive_p95_response_ms_ci95,batch_offered_tasks_mean,batch_offered_tasks_ci95,batch_completed_tasks_mean,batch_completed_tasks_ci95,batch_rejected_tasks_mean,batch_rejected_tasks_ci95,batch_completion_rate_mean,batch_completion_rate_ci95,batch_rejection_rate_mean,batch_rejection_rate_ci95,batch_offered_deadline_tasks_mean,batch_offered_deadline_tasks_ci95,batch_deadline_successes_mean,batch_deadline_successes_ci95,batch_deadline_goodput_mean,batch_deadline_goodput_ci95,batch_accepted_deadline_tasks_mean,batch_accepted_deadline_tasks_ci95,batch_accepted_deadline_misses_mean,batch_accepted_deadline_misses_ci95,batch_accepted_miss_rate_mean,batch_accepted_miss_rate_ci95,batch_p50_response_ms_mean,batch_p50_response_ms_ci95,batch_p95_response_ms_mean,batch_p95_response_ms_ci95
light,eevdf,10,1.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,55.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0046533268657,10.357442394921904,2446.9977334699997,46.60113236583592,1.9991960614774875,0.2781745663500827,1.6411310952427136,0.22835225595902311,0.40204071117736484,0.056726100006594386,0.9999653829189887,3.4448938287440426e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.5613053999999,17.37071834302935,0.181,0.20537193947567423,111078.7,71935.10129876937,0.003646469859180465,0.0026003446323122938,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,380.7863312,12.074238601813766,442.71311535000007,15.003983339230615,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,595.0268,17.592106861594562,716.1736133699999,40.68500363208068,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2280.08858185,66.24029803251774,2629.437920565,27.95753979677777
light,proposed,10,1.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,54.9,0.22619999999999998,0.9981818181818183,0.004112727272727274,55.0,0.0,0.1,0.22619999999999998,0.0018181818181818182,0.004112727272727272,0.0018181818181818182,0.004112727272727272,845.9238236029851,17.111518906804424,2469.20347128,47.496638281030954,1.9988838585226891,0.2784076584750074,1.638011099678336,0.22910369655466334,0.39951733822649116,0.056367557039579096,0.9999665926709744,3.183637076713175e-05,64.9284685,7.368504607687983,0.0019188482248314264,0.00029545900561118814,961.3,37.907607768889875,67.0,0.0,0.0,0.0,1028.3,37.907607768889875,1028.3,37.907607768889875,1028.3,37.907607768889875,964.4,25.49635140642676,1.0658759185038384,0.016371961453323453,6.207738263378603,0.5408935498361728,5829.287510664175,528.9514115931754,83.0395,34.89855148966323,38186.854694904854,5906.969632014583,1902148.4324999999,422017.01566883177,1028.3,37.907607768889875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.8084533,18.962963004789994,2.307,3.5332765830763946,712014.0,434470.87883307564,0.020377002635034728,0.011669245462588379,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,19.9,0.22619999999999998,0.9949999999999999,0.011310000000000008,20.0,0.0,0.1,0.22619999999999998,0.005,0.01131,381.5768004,12.40181776473119,454.7453335600001,22.86382039031927,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,597.8913758,16.793280066996843,733.5824984999998,57.2068614376396,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2301.8276488,68.7221122346857,2664.01668397,34.82199685109403
light,proposed-no-admission,10,1.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,55.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.1576627119402,9.69580475250156,2473.4991458699997,55.38739771560347,1.997480309711334,0.27934871549751344,1.6397226423003488,0.22931610973676475,0.39922205605390265,0.05666316187313622,0.9999706253513152,2.761129573023151e-05,65.6884098,8.423117425487332,0.0019378203863190235,0.0003078708080016847,961.6,35.587202506519105,67.0,0.0,0.0,0.0,1028.6,35.587202506519105,1028.6,35.587202506519105,1028.6,35.587202506519105,971.8,27.703318562222826,1.0588605608918367,0.029454212644725777,10.802574654273506,10.506081934501696,10660.485771960459,11084.397648711065,4440.1451,9655.416466608298,38689.11030686348,5883.287538418428,2159053.9968,546905.3526324297,1028.6,35.587202506519105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.5329994,20.818820609103945,0.796,0.5570544651863047,463445.5,88763.42119934385,0.014065224197497238,0.004093255936406387,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,378.3759024,12.976308506398974,440.74819507500007,14.990752132452123,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,594.2663014,16.954796140328828,698.54226975,11.678786126833268,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2306.7443587499997,72.2602718105646,2672.5585893149996,30.80249836226254
light,rustland,10,1.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,55.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.2670983850746,25.574940387295516,2470.1602802599996,52.73430940517845,1.9991365951194484,0.2781407239726329,1.6410822795756665,0.22832447490290758,0.3996398776881757,0.0562609749929567,0.999971222681924,2.692851546070314e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.2502878,19.92533068214868,0.841,0.9202967687023572,511025.8,352646.2034509984,0.016476385501276017,0.014034886091407508,20.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,377.61859275,11.769561424923083,437.8002586850001,22.440153830690292,35.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,597.1236544000001,17.003533591622567,796.4143047099999,215.200626494151,12.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2303.0204215,67.38091063569418,2741.5755957449996,193.240901838846
overload-bursty,eevdf,10,1.0,0.0,0.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,720.0,0.0,1.0,0.0,1.0,0.0,71600.3277289087,229.83081152886942,130276.93196001,638.7790237950018,4.531479711507274,0.022586879375128478,0.0,0.0,0.9919039837907822,0.0012183189495208846,0.9998915557189729,3.621598407393983e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70358.6619667,561.0276634678963,96.107,2.777503179439404,167693263.0,970245.8871328234,0.9868329610524216,0.0016010357891421934,240.0,0.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,1.0,0.0,61477.33444845,574.020262739843,124598.10926067,808.6960161017514,480.0,0.0,480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,480.0,0.0,1.0,0.0,67220.103005,626.7710526008412,127902.2470181,429.5511516318752,50.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,140277.20887545001,1082.003196939463,147112.117963715,952.3995232966927
overload-bursty,proposed,10,0.20623376623376624,0.004546791076232667,0.7937662337662338,0.004546791076232677,0.20623376623376624,0.004546791076232667,720.0,0.0,95.9,11.387397175825562,0.13319444444444445,0.015815829410868835,151.8,3.50102912869916,55.9,8.860382296492629,0.3700636720985312,0.0636419627080388,0.3700636720985312,0.0636419627080388,2975.583785508285,124.86858892222749,7025.803990914998,662.2727278550992,5.258977820504218,0.09311569432560465,3.17052489666065,0.3439085775213433,0.9706726411669944,0.004391578825055464,0.9984049727703341,0.00092294765204964,255.294616,106.7230440682417,0.008378559013833109,0.0033291782841780126,8220.4,4584.666742557832,67.3,28.560679998207323,0.0,0.0,8287.7,4613.194066634305,8287.7,4613.194066634305,8287.7,4613.194066634305,79458.3,31906.56972000167,0.37344084508401154,0.6552111823336764,1.0331187387392453,1.7450795593751995,3216.229409110962,446.590903324892,383.08759999999995,360.6940618179993,531.613312419155,918.4610531181983,386182.2661,211851.82126523842,8286.5,4613.472958226785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.36992815,153.097015110746,82.525,4.326710925155504,26476479.7,792692.2330646707,0.8766342566733902,0.018931569235659425,240.0,0.0,127.7,4.239196947536172,112.3,4.239196947536172,0.5320833333333332,0.017663320614734055,0.46791666666666665,0.017663320614734055,240.0,0.0,81.2,10.587191060899958,0.3383333333333333,0.044113296087083156,127.7,4.239196947536172,46.5,7.8882238938813085,0.36652005325705794,0.06749973195580186,1603.4946261,101.4821201309826,2901.6380542099996,168.66923489111431,480.0,0.0,24.1,1.487120452418028,455.9,1.487120452418028,0.050208333333333334,0.003098167609204226,0.9497916666666667,0.0030981676092042445,480.0,0.0,14.7,2.1604435563096756,0.030625000000000003,0.004500924075645158,24.1,1.487120452418028,9.4,1.51552124366503,0.39325609093000397,0.07048837182784849,4253.544196299999,348.2890243453785,6942.129461659999,660.5526447715835,50.0,0.0,7.0,0.0,43.0,0.0,0.14,0.0,0.86,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,20616.2263766,2460.9297452892793,23279.52496945,2626.7431852204627
overload-bursty,proposed-no-admission,10,1.0,0.0,0.0,0.0,1.0,0.0,720.0,0.0,13.6,2.2418031670956307,0.01888888888888889,0.0031136155098550433,720.0,0.0,706.4,2.2418031670956307,0.9811111111111112,0.0031136155098550637,0.9811111111111112,0.0031136155098550637,71253.03731155026,221.62532416207083,130496.78531820499,623.0145712917565,4.526983811154836,0.022049648166212785,0.07999086215505485,0.013314648020362613,0.9915709274590035,0.0012459367367216,0.9998750228371515,4.35110577268541e-05,134.0181863,12.750075194599095,0.0007881245761791979,7.622390815891843e-05,5734.1,124.94053020553417,124.9,2.621709068527627,0.0,0.0,5859.0,126.2521160028615,5859.0,126.2521160028615,5859.0,126.2521160028615,74599.5,19163.967746178332,0.08986386075019778,0.026279191742891804,0.17483306360442236,0.03789902181366967,2033.2732158308158,211.09445872085436,183.3281,114.46014523236153,118.61672378475139,33.22653036977067,274342.0259,113696.47596687057,5856.6,126.22743703268318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70085.1430708,485.8790342433385,94.705,3.6865839007541936,167652285.0,898683.7975488425,0.9856169419689952,0.0011401825292824868,240.0,0.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,0.0,10.3,1.9089755262967618,0.042916666666666665,0.007954064692903174,240.0,0.0,229.7,1.9089755262967618,0.9570833333333333,0.007954064692903174,61352.352014050004,606.6374035670843,124836.71677794,1033.8665378803412,480.0,0.0,480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,480.0,0.0,3.3,1.06897949465834,0.006875000000000001,0.0022270406138715417,480.0,0.0,476.7,1.06897949465834,0.993125,0.002227040613871534,66908.87412085,577.3150326993347,128228.812080045,649.5971528348185,50.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,140337.9848727,973.5572636404539,147282.087730015,901.4507589176237
overload-bursty,rustland,10,1.0,0.0,0.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,720.0,0.0,1.0,0.0,1.0,0.0,67209.62819050065,160.71192539654837,143214.99902344,1171.4171080296048,4.547533650698659,0.020911708820517693,0.0,0.0,0.9930038142232556,0.0007321346028786842,0.9998676486197675,0.0001451648939136481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64615.12780565,440.9964875095805,99.803,0.16322140875510097,167932120.6,854476.1072192334,0.9917479406402967,0.0009036047488365983,240.0,0.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,1.0,0.0,56288.2967329,474.68193234152085,105194.59396111997,746.5981866040131,480.0,0.0,480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,480.0,0.0,1.0,0.0,63032.3632334,451.9651761266258,110543.51054958999,357.0117312517423,50.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,149174.44578895002,811.8794815709131,161894.04205826,882.4319824100803
saturated,eevdf,10,1.0,0.0,0.0,0.0,1.0,0.0,115.0,0.0,44.7,7.607930990749062,0.38869565217391305,0.06615592165868749,115.0,0.0,70.3,7.607930990749062,0.6113043478260869,0.06615592165868749,0.6113043478260869,0.06615592165868749,5926.083789627819,456.9092281629097,20958.398801979998,783.0625252444488,3.969553355452548,0.1875437215568187,1.3220009792087588,0.1899518636493698,0.9418311173758633,0.04056723253526476,0.9999064284133021,9.58614727327311e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383.3088146,481.8605834168417,82.033,14.27410344318255,29508478.9,778664.6956978763,0.8820378233282901,0.058127548218170295,45.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,6.9,2.0076798649187078,0.15333333333333332,0.044615108109304615,45.0,0.0,38.1,2.0076798649187078,0.8466666666666667,0.044615108109304615,3598.0533410000003,462.504100423218,5296.82707024,721.630880549355,70.0,0.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,37.8,7.568597767090017,0.54,0.1081228252441431,70.0,0.0,32.2,7.568597767090017,0.45999999999999996,0.1081228252441431,4348.5092058,501.98166736151086,6611.752827144999,658.8460231300214,18.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,20280.317694100002,725.0899255280758,23551.133358735,914.9943320674873
saturated,proposed,10,0.819548872180451,0.023374598809892615,0.18045112781954886,0.023374598809892597,0.819548872180451,0.023374598809892615,115.0,0.0,94.5,3.540590035573167,0.8217391304347826,0.030787739439766676,101.6,3.184701781956986,7.1,0.8563793785466813,0.07014441663198923,0.009414261118276078,0.07014441663198923,0.009414261118276078,2590.519027813224,88.40705723372076,6186.854338104997,578.8171158717876,3.3801987750962246,0.2745881475831784,2.932312569820175,0.26385705759989414,0.6796062180979417,0.05074564571307201,0.9997203279004964,0.0002660825396560032,351.3916274,66.23706250303744,0.010690425234498046,0.001296119198253512,7194.9,821.6005173216724,102.0,14.025210729254658,0.0,0.0,7296.9,834.8639557355677,7296.9,834.8639557355677,7296.9,834.8639557355677,7640.8,8149.953708171756,1.7121407353232354,0.40671836839438086,8.797080524469937,2.5467032245992174,5689.813948734996,1602.729542434438,4021.4767,6706.667330240117,7466.7486713879,1886.5732229695052,1440901.5608,403023.8421128141,7296.8,835.0697428676002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857.5895604000002,187.03589885690857,20.434,4.991510979964283,11342535.2,659781.9841725195,0.35117430358312113,0.02947779390205691,45.0,0.0,44.6,0.5001470183855943,0.4,0.5001470183855943,0.9911111111111112,0.011114378186346533,0.008888888888888889,0.01111437818634654,45.0,0.0,43.0,0.47687147115339157,0.9555555555555555,0.01059714380340869,44.6,0.5001470183855943,1.6,0.6032,0.03570941977918722,0.013319469251531175,820.7600265000001,102.84492194406866,1627.2909053399999,109.37829502628922,70.0,0.0,57.0,2.97806138284623,13.0,2.97806138284623,0.8142857142857143,0.04254373404066043,0.18571428571428572,0.042543734040660426,70.0,0.0,51.5,3.2909314486935153,0.7357142857142858,0.04701330640990736,57.0,2.97806138284623,5.5,0.7726200877533538,0.09730800559392555,0.016120068274047737,3637.5163839,501.65341319260625,4533.669333219999,101.44590557091364,18.0,0.0,7.4,0.9655911350048735,10.6,0.9655911350048735,0.4111111111111111,0.053643951944715204,0.5888888888888889,0.05364395194471518,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,7503.405405199999,668.6904310016201,9810.705426044999,1091.1532297674714
