source_csv,experiment,repetition,scheduler,scheduler_impl,cpus,total_tasks,admitted_tasks,delayed_tasks,rejected_tasks,completed_tasks,failed_tasks,deadline_completed_tasks,offered_deadline_tasks,deadline_successes,accepted_deadline_tasks,accepted_deadline_misses,deadline_misses,deadline_goodput,accepted_miss_rate,admission_rate,delay_rate,rejection_rate,completion_rate,deadline_miss_ratio,mean_response_ms,p50_response_ms,p95_response_ms,throughput_tasks_s,goodput_deadline_tasks_s,cpu_utilization,jain_class_service_fairness,workload_psi_some_avg10_final,workload_psi_some_total_us,workload_psi_some_stall_fraction,critical_offered_tasks,critical_completed_tasks,critical_rejected_tasks,critical_completion_rate,critical_rejection_rate,critical_offered_deadline_tasks,critical_deadline_successes,critical_deadline_goodput,critical_accepted_deadline_tasks,critical_accepted_deadline_misses,critical_accepted_miss_rate,critical_p50_response_ms,critical_p95_response_ms,interactive_offered_tasks,interactive_completed_tasks,interactive_rejected_tasks,interactive_completion_rate,interactive_rejection_rate,interactive_offered_deadline_tasks,interactive_deadline_successes,interactive_deadline_goodput,interactive_accepted_deadline_tasks,interactive_accepted_deadline_misses,interactive_accepted_miss_rate,interactive_p50_response_ms,interactive_p95_response_ms,batch_offered_tasks,batch_completed_tasks,batch_rejected_tasks,batch_completion_rate,batch_rejection_rate,batch_offered_deadline_tasks,batch_deadline_successes,batch_deadline_goodput,batch_accepted_deadline_tasks,batch_accepted_deadline_misses,batch_accepted_miss_rate,batch_p50_response_ms,batch_p95_response_ms,duration_s,scheduler_cpu_time_ms,scheduler_cpu_fraction,metadata_cache_hits,metadata_registry_reads,metadata_misses,local_dispatches,dispatch_attempts,tasks_dequeued,notify_cycles,average_tasks_per_notify_cycle,average_decision_wall_us,decision_wall_ns_per_dispatch,max_decision_wall_us,average_cycle_wall_us,max_cycle_wall_us,core_user_dispatches,core_kernel_dispatches,core_cancelled_dispatches,core_bounced_dispatches,core_failed_dispatches,core_congestion_events
results/paper-secondary-v1/ablations/no-aging/overload/rep-00/tasks.csv,overload-bursty,0,proposed,proposed,4,770,161,5,609,161,0,154,720,73,154,81,81,0.10138888888888889,0.525974025974026,0.20909090909090908,0.006493506493506494,0.7909090909090909,0.20909090909090908,0.525974025974026,3294.0807755403725,2089.270959,6163.211688,5.324452968943769,2.414192961073883,0.9752995767936308,0.9991299102515829,88.3,27836351,0.9205797622764649,240,135,105,0.5625,0.4375,240,65,0.2708333333333333,135,70,0.5185185185185185,1869.929359,3326.5612404000003,480,19,461,0.03958333333333333,0.9604166666666667,480,8,0.016666666666666666,19,11,0.5789473684210527,4989.986459,6208.8291959,50,7,43,0.14,0.86,0,0,,0,0,,23226.657604,26133.6248819,30.237848083,536.876821,0.017755126605779766,9319,81,0,9400,9400,9400,108515,0.08662396903653873,0.46360814633921577,5351.961489361702,1711.884,118.1809685020504,553513.907,9400,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-01/tasks.csv,overload-bursty,1,proposed,proposed,4,770,159,4,611,159,0,152,720,80,152,72,72,0.1111111111111111,0.47368421052631576,0.2064935064935065,0.005194805194805195,0.7935064935064935,0.2064935064935065,0.47368421052631576,3140.2964588238992,2002.180313,6836.553176299998,5.3061340499689145,2.669752981116435,0.972121592333648,0.9996001382035139,86.32,27062465,0.9031262076263648,240,134,106,0.5583333333333333,0.44166666666666665,240,74,0.30833333333333335,134,60,0.44776119402985076,1763.711586,2918.00705985,480,18,462,0.0375,0.9625,480,6,0.0125,18,12,0.6666666666666666,5103.342826,6847.45590145,50,7,43,0.14,0.86,0,0,,0,0,,23473.881017,24800.2776338,29.965319101,476.078705,0.015887656773997522,9081,76,0,9157,9157,9157,88647,0.10329734790799464,0.48491163829571216,4694.32805503986,1075.381,144.20769618825227,187603.681,9154,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-02/tasks.csv,overload-bursty,2,proposed,proposed,4,770,156,6,614,156,0,149,720,59,149,90,90,0.08194444444444444,0.6040268456375839,0.2025974025974026,0.007792207792207792,0.7974025974025974,0.2025974025974026,0.6040268456375839,3558.056714564103,2326.5049485,6285.671315250001,5.227213572387825,1.9769589793005236,0.9736235202214962,0.9986161814236584,91.05,27580244,0.924152729272871,240,129,111,0.5375,0.4625,240,54,0.225,129,75,0.5813953488372093,1994.526588,3257.2655403999997,480,20,460,0.041666666666666664,0.9583333333333334,480,5,0.010416666666666666,20,15,0.75,5602.8421705,6155.050724650001,50,7,43,0.14,0.86,0,0,,0,0,,24670.555698,28067.818246199997,29.843815991,533.544162,0.017877880032530054,9639,82,0,9721,9721,9721,104298,0.09320408828548965,0.5277393430362999,5662.190926859376,3015.726,122.40429579665957,181389.405,9721,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-03/tasks.csv,overload-bursty,3,proposed,proposed,4,770,163,2,607,163,0,156,720,63,156,93,93,0.0875,0.5961538461538461,0.21168831168831168,0.0025974025974025974,0.7883116883116883,0.21168831168831168,0.5961538461538461,3307.1971882883436,2357.406166,5962.083606600001,5.410280755887464,2.0910901081037436,0.9740609803975473,0.9977961925195792,88.42,27857577,0.9246460904831485,240,138,102,0.575,0.425,240,52,0.21666666666666667,138,86,0.6231884057971014,2107.9480515,3447.7099802499997,480,18,462,0.0375,0.9625,480,11,0.022916666666666665,18,7,0.3888888888888889,4776.0769975,6104.929610799998,50,7,43,0.14,0.86,0,0,,0,0,,21721.296142,23865.2094873,30.127826513,405.704103,0.01346609264445083,5441,57,0,5498,5498,5498,172408,0.03188947148624194,0.17607976428007982,5521.564205165515,2446.932,45.44561301099717,182407.546,5498,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-04/tasks.csv,overload-bursty,4,proposed,proposed,4,770,161,3,609,161,0,154,720,63,154,91,91,0.0875,0.5909090909090909,0.20909090909090908,0.003896103896103896,0.7909090909090909,0.20909090909090908,0.5909090909090909,3300.7633438074536,2089.852292,6136.49499,5.342931889809615,2.0907124786211537,0.974592774701243,0.997299482560193,86.96,27856867,0.924455546860156,240,138,102,0.575,0.425,240,58,0.24166666666666667,138,80,0.5797101449275363,1989.3489650000001,3224.6917228,480,16,464,0.03333333333333333,0.9666666666666667,480,5,0.010416666666666666,16,11,0.6875,5313.458441999999,6166.5607815,50,7,43,0.14,0.86,0,0,,0,0,,24144.581211,28152.569817999996,30.133268273,486.816754,0.01615545813316896,9631,82,0,9713,9713,9713,68675,0.14143429195485985,0.6501223589370222,4596.638834551632,3446.229,185.1468272588278,191655.485,9713,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-05/tasks.csv,overload-bursty,5,proposed,proposed,4,770,158,4,612,158,0,151,720,73,151,78,78,0.10138888888888889,0.5165562913907285,0.2051948051948052,0.005194805194805195,0.7948051948051948,0.2051948051948052,0.5165562913907285,3261.1879499620254,2075.899437,6377.428235250002,5.313686015254598,2.4550574627442128,0.9741435057904041,0.998926737369651,88.51,27300284,0.9181337804004991,240,132,108,0.55,0.45,240,62,0.25833333333333336,132,70,0.5303030303030303,1861.5414759999999,3145.1721747,480,19,461,0.03958333333333333,0.9604166666666667,480,11,0.022916666666666665,19,8,0.42105263157894735,4731.11835,6354.798574499999,50,7,43,0.14,0.86,0,0,,0,0,,21499.965409,27273.1071266,29.734538237,460.138995,0.015474899638005097,9532,81,0,9613,9613,9613,182063,0.05280040425566974,0.23473509169902726,4445.706335171122,2532.598,70.6930236127055,178161.036,9609,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-06/tasks.csv,overload-bursty,6,proposed,proposed,4,770,160,3,610,160,0,153,720,71,153,82,82,0.09861111111111111,0.5359477124183006,0.2077922077922078,0.003896103896103896,0.7922077922077922,0.2077922077922078,0.5359477124183006,3225.250560125,2045.558964,6051.576155499993,5.322079970686553,2.361672986992158,0.9743234052880467,0.9991330143383558,87.77,27847105,0.9262782485131585,240,135,105,0.5625,0.4375,240,61,0.25416666666666665,135,74,0.5481481481481482,1933.627839,3164.8898073,480,18,462,0.0375,0.9625,480,10,0.020833333333333332,18,8,0.4444444444444444,4729.422289,6100.086528499999,50,7,43,0.14,0.86,0,0,,0,0,,22393.905666,27491.9159892,30.063434011,458.899684,0.015264380104817428,9442,78,0,9520,9520,9520,169712,0.05609503158291694,0.25336048128594324,4516.62962184874,1087.632,75.80891224545113,533538.207,9516,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-07/tasks.csv,overload-bursty,7,proposed,proposed,4,770,160,4,610,160,0,153,720,62,153,91,91,0.08611111111111111,0.5947712418300654,0.2077922077922078,0.005194805194805195,0.7922077922077922,0.2077922077922078,0.5947712418300654,3422.40020975625,2191.3749129999997,7026.243068699994,5.271589829026318,2.0427410587476986,0.977246822947631,0.9965740616771003,91.94,28314577,0.9328927257898909,240,135,105,0.5625,0.4375,240,57,0.2375,135,78,0.5777777777777777,1991.922285,3033.0195725000003,480,18,462,0.0375,0.9625,480,5,0.010416666666666666,18,13,0.7222222222222222,5100.1994644999995,7059.9318561,50,7,43,0.14,0.86,0,0,,0,0,,25361.925628,27844.358847999996,30.351375048,514.472995,0.016950566298441928,11553,93,0,11646,11646,11646,79793,0.14595265248831352,0.6344829370997457,4347.183324746694,1820.678,193.89797653929543,601566.351,11646,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-08/tasks.csv,overload-bursty,8,proposed,proposed,4,770,166,5,604,166,0,159,720,85,159,74,74,0.11805555555555555,0.46540880503144655,0.21558441558441557,0.006493506493506494,0.7844155844155845,0.21558441558441557,0.46540880503144655,2961.1779330783133,1900.3458930000002,6782.30708275,5.524536654132228,2.8288290096460202,0.9763777451681389,0.9979307968879516,88.79,27430343,0.9128911767404781,240,141,99,0.5875,0.4125,240,79,0.32916666666666666,141,62,0.4397163120567376,1755.780512,2728.266718,480,18,462,0.0375,0.9625,480,6,0.0125,18,12,0.6666666666666666,5338.940953,6818.13317785,50,7,43,0.14,0.86,0,0,,0,0,,20917.289248,24535.6925157,30.04776878,463.226456,0.01541633455021548,10901,82,0,10983,10983,10983,53358,0.20583605082649276,0.9806888189212488,4764.417190203041,5236.99,286.9498627197421,193167.647,10980,0,0,0,0,0
results/paper-secondary-v1/ablations/no-aging/overload/rep-09/tasks.csv,overload-bursty,9,proposed,proposed,4,770,175,5,595,175,0,168,720,131,168,37,37,0.18194444444444444,0.22023809523809523,0.22727272727272727,0.006493506493506494,0.7727272727272727,0.22727272727272727,0.22023809523809523,2861.713485662857,1474.527141,5950.515481599995,5.384673672630956,4.030812863512315,0.9391236236100161,0.9965912696576908,73.68,27956066,0.860195957603048,240,150,90,0.625,0.375,240,126,0.525,150,24,0.16,1420.029567,2099.58846255,480,18,462,0.0375,0.9625,480,5,0.010416666666666666,18,13,0.7222222222222222,5018.656066,6212.58489855,50,7,43,0.14,0.86,0,0,,0,0,,27410.120038,30480.250730699998,32.499648194,952.531935,0.029308992187055547,24467,175,0,24642,24642,24642,8373,2.9430311716230744,11.272643377522991,3830.283377972567,2799.059,4055.2689866236715,1391649.286,24642,0,0,0,0,0
